# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
1000000 161
  93 1848.46 663.309 298.903
  94 1868.46 671.349 297.957
  95 1888.46 658.664 297.664
  96 1908.46 650.573 297.711
  97 1928.46 648.185 296.847
  98 1948.46 648.668 296.391
  99 1968.46 653.238 296.094
  100 1988.46 668.198 296.832
  101 2008.46 667.612 295.553
  102 2028.46 654.703 295.337
  103 2048.46 649.455 295.127
  104 2068.46 648.193 295.173
  105 2088.46 649.858 295.034
  106 2108.46 656.474 295.125
  107 2128.46 670.105 294.774
  108 2148.46 664.55 295.206
  109 2168.46 652.476 294.484
  110 2188.46 648.434 293.902
  111 2208.46 648.573 293.3
  112 2228.46 652.351 292.664
  113 2248.46 662.228 292.503
  114 2268.46 668.539 291.711
  115 2288.46 660.731 291.193
  116 2308.46 649.557 289.829
  117 2328.46 648.098 289.78
  118 2348.46 649.452 288.304
  119 2368.46 655.062 286.341
  120 2388.46 665.689 282.274
  121 2408.46 667.491 277.575
  122 2428.46 655.536 284.183
  123 2448.46 648.691 286.602
  124 2468.46 648.131 288.233
  125 2488.46 650.171 289.543
  126 2508.46 658.231 290.064
  127 2528.46 670.165 291.043
  128 2548.46 663.649 291.506
  129 2568.46 651.337 292.067
  130 2588.46 648.414 293.249
  131 2608.46 648.447 294.371
  132 2628.46 652.455 294.262
  133 2648.46 665.118 294.15
  134 2668.46 669.488 295.025
  135 2688.46 656.731 295.713
  136 2708.46 649.623 296.161
  137 2728.46 648.065 296.471
  138 2748.46 648.942 296.818
  139 2768.46 656.731 297.48
  140 2788.46 668.801 298.575
  141 2808.46 665.015 298.031
  142 2828.46 653.339 298.049
  143 2848.46 649.103 298.559
  144 2868.46 648.077 299.057
  145 2888.46 650.156 298.932
  146 2908.46 659.935 298.476
  147 2928.46 669.955 298.45
  148 2948.46 661.489 298.908
  149 2968.46 651.479 299.495
  150 2988.46 648.931 298.897
  151 3008.46 648.55 299.555
  152 3028.46 652.67 300.095
  153 3048.46 665.366 300.836
  154 3068.46 668.24 300.875
  155 3088.46 656.651 300.812
  156 3108.46 650.247 300.625
  157 3128.46 648.361 300.637
  158 3148.46 649.171 300.627
  159 3168.46 656.901 301.821
  160 3188.46 669.535 302.53
  161 3208.46 321.53 303.703
6000000 161
  1 8.45849 664.562 302.206
  2 28.4585 655.271 302.586
  3 48.4585 648.941 302.681
  4 68.4585 648.095 303.755
  5 88.4585 650.257 303.626
  6 108.458 659.375 304.13
  7 128.458 669.444 305.231
  8 148.458 661.939 305.265
  9 168.458 652.631 306.033
  10 188.458 648.265 305.087
  11 208.458 648.213 305.388
  12 228.458 651.989 306.341
  13 248.458 663.785 306.036
  14 268.458 670.513 306.624
  15 288.458 657.714 305.392
  16 308.458 649.72 305.767
  17 328.458 648.125 306.141
  18 348.458 648.903 306.912
  19 368.458 654.714 307.316
  20 388.458 668.391 307.172
  21 408.458 667.157 307.87
  22 428.458 654.08 308.697
  23 448.458 648.675 309.333
  24 468.458 648.083 309.28
  25 488.458 650.085 309.615
  26 508.458 658.782 309.924
  27 528.458 669.76 310.118
  28 548.458 663.268 309.76
  29 568.458 651.689 310.97
  30 588.458 648.404 310.776
  31 608.458 648.481 312.385
  32 628.458 651.486 313.026
  33 648.458 663.637 312.807
  34 668.458 670.302 313.338
  35 688.458 658.409 314.136
  36 708.458 649.415 314.612
  37 728.458 648.401 316.094
  38 748.458 648.756 316.903
  39 768.458 653.711 319.16
  40 788.458 667.482 322.865
  41 808.458 668.116 327.58
  42 828.458 654.846 320.826
  43 848.458 648.848 317.935
  44 868.458 648.276 315.682
  45 888.458 649.377 314.973
  46 908.458 657.67 313.519
  47 928.458 670.785 312.784
  48 948.458 664.225 312.785
  49 968.458 651.559 312.389
  50 988.458 648.201 312.071
  51 1008.46 648.666 311.858
  52 1028.46 652.156 310.829
  53 1048.46 662.646 310.876
  54 1068.46 670.005 309.958
  55 1088.46 659.119 309.664
  56 1108.46 649.346 309.659
  57 1128.46 648.045 308.879
  58 1148.46 648.835 307.614
  59 1168.46 655.271 307.844
  60 1188.46 666.166 307.626
  61 1208.46 668.429 307.488
  62 1228.46 654.554 307.267
  63 1248.46 648.714 307.705
  64 1268.46 648.049 307.406
